Title,Total Count,Unique Count
"Project files, 1946-1985",8,5
"Lippincott, Inc. photographs, 1965-2009",8,8
"Charles R. Lamb scrapbook on the Dewey Arch, 1899-1901",8,7
"Newman Galleries Photographs and Printed Material, circa 1860-1965",8,7
"John Marin printed material and drawings, 1929-1955",8,8
"George L. Frankenstein papers, 1866-1949",8,3
"Records of contributors to American Federation of Arts traveling exhibitions, 1956-1966",8,8
"Arnold Crane interviews of photographers, ca. 1968-1971",8,6
"Gaston and Isabelle Nagle Lachaise papers, 1903-1962",8,1
"Eva Hesse papers, 1914-1970, bulk 1960-1970 dates",8,6
"Frederic Remington papers, 1880-1908",8,7
"Thomas Crawford papers, 1841-1856",8,7
"Thomas Moran papers, 1870-1940",7,6
"Fischbach Gallery records, 1937-2015, bulk 1963-1977",7,3
"John Quincy Adams Ward papers in the New York Historical Society, 1857-1915",7,7
"Selected art related photographs from the Philadelphia City Archives, 1875-1930",7,7
"Abram Lerner papers, circa 1930-2006",7,5
"Sibyl and Laszlo Moholy-Nagy papers, 1918-1971",7,4
"Fredrick Olmsted papers, 1940-1941",7,1
"Frank K. M. Rehn Galleries records, 1858-1969, bulk 1919-1968",7,2
"Chester Dale papers, circa 1883-2003, bulk 1920-1970",7,7
"Dorothy C. Miller papers, 1853-2013, bulk 1920-1996",7,6
"Thomas Sully papers, 1792-1871",7,6
"Alice Trumbull Mason papers, 1921-1977",7,5
"Howard Russell Butler papers, 1874-1936",7,5
"William C. Seitz papers, circa 1930-1995",7,4
"Tomás Ybarra-Frausto research material on Chicano art, 1965-2004",7,4
"Robert C. Graham collection of artists' letters, 1783-1935, bulk 1804-1877",7,7
"Minutes of the New-York gallery of the fine arts records, 1844-1858",7,7
"Frank Duveneck papers, 1845-1919",7,4
"Palmer C. Hayden papers, 1920-1970",7,5
"Frank Duveneck and Elizabeth Boott Duveneck papers, 1851-1972, bulk 1851-1919",7,6
"Leon Golub papers, 1930s-2009",7,5
"Charles Green Shaw papers, 1833-1979, 1686, bulk 1909-1974",7,4
"The Zorach family papers, 1900-1987",7,6
"California Art Club guest register and scrapbooks, 1916-1961",7,6
"William Baziotes sketchbooks (microfilm), 1933",7,6
"International exhibition, 1876 : official catalogue / United States Centennial Commission, Department of Art, 1876",7,4
"Philip Leslie Hale papers, 1818-1962, bulk 1877-1939",7,5
"Grant Wood papers, 1930-1983",7,7
"John Sloan letters and sketch, 1909-1933",7,3
"J. B. Neumann papers, 1905-1967",7,5
"Patricia Jordan papers, 1870, 1949-1984",7,3
"Harold Weston papers, 1894-1978, bulk 1912-1972",7,4
"Emmy Lou Packard Papers, 1900-1990",7,5
"Elmer Livingston MacRae papers related to the Association of American Painters and Sculptors, 1899-circa 2013, bulk 1912-1916",7,6
"College Art Association of America records, 1929-1934",7,4
"Scrapbooks relating to the Solomon R. Guggenheim Foundation, 1935-1939",7,7
"Marsden Hartley in Maine ; illustrated manuscript, 1945",7,7
"Oral history interviews of artists conducted by Susan C. Larsen, 1973-1978",7,5
"Frederick A. Sweet research material on Mary Cassatt and James A. McNeill Whistler, 1872-1975",7,5
"J. Eastman Chase papers, 1866-1917",7,5
"Scrapbook on the Common Ground of the Arts, 1978",7,7
"Thomas Wilmer Dewing and Dewing family papers, 1876-1963, bulk 1890-1930",7,5
"George Catlin collection from the Thomas Gilcrease Institute of American History and Art, 1840-1860",7,6
"China Eggs by Kay Sage, 1955",7,6
"Martin Johnson Heade letter to Frederic Edwin Church, 1868",7,5
